"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.107498288E-4,6.660699005E0,6.336173859E0,2.797532501E0,9.609276690E0
1.078874990E-2,6.759643250E0,7.012168121E0,2.724484406E0,1.011365878E1
2.076574974E-2,6.563700714E0,7.039710846E0,2.830464020E0,1.003250828E1
3.074374981E-2,6.447991333E0,6.687044220E0,2.812651062E0,9.705882681E0
4.072075011E-2,6.358477478E0,6.552623749E0,2.826871490E0,9.558154438E0
5.069874972E-2,6.477180634E0,6.580016785E0,2.850522308E0,9.663124095E0
6.067575002E-2,6.604715424E0,6.612499237E0,2.852767639E0,9.771678218E0
7.065375010E-2,6.621929626E0,6.718329163E0,2.841391296E0,9.851873082E0
8.063074993E-2,6.628366241E0,6.732848969E0,2.720442810E0,9.831953181E0
9.060875000E-2,6.613097992E0,6.722520447E0,2.700234833E0,9.809006798E0
1.005867501E-1,6.594686279E0,6.815327454E0,2.782863007E0,9.883466089E0
1.105637499E-1,6.558461609E0,6.812633057E0,2.779569855E0,9.856540794E0
1.205417500E-1,6.510561218E0,6.758894806E0,2.787802734E0,9.789888174E0
1.305187498E-1,6.441405029E0,6.746021576E0,2.835553436E0,9.748890662E0
1.404967499E-1,6.419550476E0,6.700216827E0,2.863694916E0,9.711039204E0
1.504737497E-1,6.452481995E0,6.690187683E0,2.865491180E0,9.726467747E0
1.604517498E-1,6.477030945E0,6.697821808E0,2.857857056E0,9.745773124E0
1.704287501E-1,6.500681763E0,6.710395660E0,2.821482697E0,9.759561358E0
1.804067497E-1,6.538852386E0,6.691834259E0,2.796784058E0,9.765205443E0
1.903837500E-1,6.564748535E0,6.685547333E0,2.825524292E0,9.786524102E0
2.003617501E-1,6.580765228E0,6.690037994E0,2.816542969E0,9.797754521E0
2.103387499E-1,6.558760986E0,6.665489044E0,2.785108337E0,9.757198283E0
2.203167500E-1,6.536307678E0,6.692133636E0,2.793939972E0,9.762892565E0
2.302947501E-1,6.534661102E0,6.722969513E0,2.812950439E0,9.788401553E0
2.402717499E-1,6.546935577E0,6.731501770E0,2.817890167E0,9.803876097E0
2.502497500E-1,6.554120636E0,6.752907257E0,2.819087677E0,9.823721752E0
2.602267498E-1,6.533613281E0,6.804549866E0,2.854114838E0,9.855758362E0
2.702047499E-1,6.496490479E0,6.822662201E0,2.868484955E0,9.847909117E0
2.801817497E-1,6.461014252E0,6.776558075E0,2.868035889E0,9.792449865E0
2.901597498E-1,6.415658569E0,6.714736633E0,2.856659546E0,9.716422526E0
3.001367501E-1,6.403683472E0,6.654711456E0,2.840343475E0,9.662292566E0
3.101147497E-1,6.434219971E0,6.654112701E0,2.799927521E0,9.670366932E0
3.200917500E-1,6.497089233E0,6.646029510E0,2.755320282E0,9.694001579E0
3.300697501E-1,6.591692505E0,6.593937836E0,2.726430359E0,9.714105659E0
3.400467499E-1,6.664441223E0,6.526278534E0,2.749482422E0,9.724543275E0
3.500247500E-1,6.638994141E0,6.540049896E0,2.785707092E0,9.726698302E0
3.600027501E-1,6.533313904E0,6.552324371E0,2.739004211E0,9.649833641E0
3.699797499E-1,6.202501831E0,6.302942963E0,2.647843781E0,9.230882712E0
3.799577500E-1,5.870043182E0,5.761967926E0,2.627785492E0,8.634983378E0
3.899347498E-1,5.048551483E0,4.771777039E0,2.822829895E0,7.498406284E0
3.999127499E-1,5.003195801E0,5.018164673E0,2.502046967E0,7.514930733E0
4.098897497E-1,5.405858459E0,5.947282562E0,2.343376923E0,8.371671933E0
