"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.028808334E-2,-1.462239531E-1,6.062007272E-1,-1.462022014E0,1.589455610E0
2.025508333E-2,-1.035483420E-2,5.862973899E-1,-1.858532817E0,1.948844808E0
3.022208333E-2,5.231386900E-2,5.870212752E-1,-2.084836435E0,2.166534948E0
4.018908332E-2,6.296106398E-2,5.099450326E-1,-1.704079785E0,1.779858406E0
5.015708331E-2,-3.689862049E-1,2.288190901E-1,-1.738036906E0,1.791446700E0
6.012408336E-2,-4.513024297E-1,-1.274032277E-1,-1.307142136E0,1.388713803E0
7.009108335E-2,-1.131057914E0,-5.830738199E-1,-2.546486390E0,2.846727950E0
8.005808335E-2,-1.857220702E0,-1.134257510E0,-4.631077827E0,5.116902450E0
9.002508334E-2,-2.516626414E0,-1.597751092E0,-5.629103984E0,6.369696125E0
9.999208333E-2,-2.983296496E0,-2.263867654E0,-6.933558739E0,7.880316714E0
1.099600833E-1,-3.074967681E0,-2.740961859E0,-8.131726901E0,9.115551577E0
1.199270833E-1,-3.252416058E0,-3.727248561E0,-9.060461213E0,1.032291381E1
1.298940834E-1,-3.419812779E0,-4.389438717E0,-9.531107109E0,1.103649829E1
1.398610834E-1,-3.475047917E0,-5.066932206E0,-9.566795590E0,1.136984335E1
1.498280833E-1,-3.222817453E0,-5.918662196E0,-9.453073677E0,1.160938054E1
1.597950833E-1,-3.296891150E0,-6.897939255E0,-9.105502900E0,1.188954332E1
1.697630833E-1,-4.123337195E0,-7.995004966E0,-8.779959168E0,1.257019081E1
1.797300833E-1,-4.668621045E0,-9.180288203E0,-8.607092670E0,1.342221137E1
1.896970833E-1,-4.625410706E0,-1.033604826E1,-8.238958989E0,1.400388386E1
1.996640834E-1,-4.530408069E0,-1.152991171E1,-7.769225258E0,1.462273307E1
2.096310834E-1,-4.305789619E0,-1.244876189E1,-7.060853208E0,1.494547238E1
2.195980833E-1,-3.018209344E0,-1.349875108E1,-6.906352229E0,1.546038710E1
2.295660833E-1,-1.801575090E0,-1.452627293E1,-7.395963569E0,1.639995595E1
2.395330833E-1,-1.545047214E0,-1.564147846E1,-7.485585013E0,1.740910687E1
2.495000833E-1,-1.046732878E0,-1.715739367E1,-6.874265049E0,1.851289624E1
