"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.922791686E-3,4.102131683E-1,6.118260410E-1,-1.125388454E0,1.345029784E0
1.388979168E-2,-1.321758713E0,3.327954483E-1,-2.230582963E0,2.614058006E0
2.385679167E-2,-1.891747634E0,-1.940164626E-2,-2.521826928E0,3.152569838E0
3.382379166E-2,-1.894214281E0,-1.208941072E-1,-2.535697108E0,3.167400030E0
4.379179166E-2,-1.739230907E0,-5.957347959E-2,-2.083204477E0,2.714445439E0
5.375879171E-2,-1.676765395E0,7.491949707E-2,-1.427012980E0,2.203070849E0
6.372579170E-2,-1.145488257E0,1.348981887E-1,-7.400066561E-1,1.370383421E0
7.369279169E-2,6.914420217E-2,3.442960444E-1,-9.779819012E-2,3.645341862E-1
8.366079169E-2,3.169851619E-1,1.556356314E-1,4.073813617E-2,3.554738223E-1
9.362779168E-2,6.376482224E-1,6.459790429E-1,3.031722844E-1,9.569731519E-1
1.035947917E-1,5.814520946E-1,7.400779921E-1,8.475270116E-1,1.266532277E0
1.135617917E-1,1.994447252E-1,7.415395036E-1,1.011912124E0,1.270285472E0
1.235297917E-1,-5.371234757E-1,5.684528571E-1,1.092320110E0,1.343429753E0
1.334967917E-1,-7.866952112E-1,4.890125853E-1,7.896220350E-1,1.217179371E0
1.434637917E-1,-2.194974589E-1,7.252643636E-1,2.903657126E-1,8.114799928E-1
1.534307917E-1,-1.556765619E-1,6.859614265E-1,-4.255281955E-1,8.221024971E-1
1.633987917E-1,-4.593873748E-1,-5.643603909E-1,-3.192741129E0,3.274619876E0
1.733657917E-1,-1.579272137E0,1.004164856E0,-2.870746658E0,3.426898585E0
1.833327917E-1,-4.543717794E-1,2.064217691E0,-1.771046192E0,2.757544742E0
1.932997917E-1,-1.554669392E-1,9.313509411E-1,-2.946181002E0,3.093794926E0
2.032677917E-1,-1.145203937E0,2.247602746E0,-3.986631632E-1,2.553848562E0
2.132347917E-1,6.139678761E-2,2.273901183E0,8.270822221E-1,2.420425822E0
2.232017917E-1,6.207455300E-1,1.706263720E0,1.967835989E0,2.677506186E0
2.331687917E-1,1.000083061E0,8.474746791E-1,1.891898784E0,2.301664717E0
2.431367917E-1,5.252118203E-1,2.587293524E-1,2.032509118E0,2.115155230E0
2.531037917E-1,8.962933749E-2,-1.493140604E-1,6.434650326E-1,6.666148475E-1
2.630707917E-1,6.180860701E-1,-1.245752803E0,-5.174949574E-1,1.483823260E0
2.730377917E-1,1.120602069E0,-4.457975686E-1,-8.826208305E-1,1.494491218E0
2.830057917E-1,8.205095132E-1,4.687641891E-1,-8.735032672E-1,1.286850296E0
2.929727917E-1,2.167051942E0,-4.075517350E-1,-9.616161293E-1,2.405601404E0
3.029397917E-1,8.362643972E-1,3.493086431E-2,9.378360879E-1,1.257018232E0
3.129067917E-1,-7.269590329E-1,8.537991737E-1,1.661979248E0,2.004898373E0
3.228747917E-1,-1.838419711E0,1.631250376E0,1.640256842E0,2.954861643E0
3.328420417E-1,-1.229545198E0,1.932111548E0,1.652859930E0,2.824319808E0
3.428090417E-1,8.488943830E-1,1.245866385E0,5.122950286E-1,1.592247129E0
3.527760417E-1,2.206807015E0,3.785228674E-1,-1.093255665E0,2.491683108E0
3.627440417E-1,2.697526987E0,-1.820661425E-1,-1.764859253E0,3.228703782E0
3.727110417E-1,2.188775956E0,-3.375859259E-1,-1.859347919E0,2.891691396E0
3.826780417E-1,9.268097010E-1,-1.741122481E-1,-1.659528095E0,1.908749537E0
3.926450417E-1,-9.992742446E-1,4.658558571E-1,-1.094938493E0,1.553853597E0
4.026130417E-1,-9.431851208E-2,3.393285424E-1,-1.269896541E0,1.317830439E0
4.125800417E-1,1.126336287E0,4.064610100E-1,-1.835983030E0,2.191957498E0
4.225470417E-1,2.422814271E-1,9.051508833E-1,-2.546850672E0,2.713751417E0
4.325140417E-1,-1.468665621E0,8.221461488E-1,-3.599367616E0,3.973455703E0
4.424820417E-1,-2.327665747E0,-6.492938295E-2,-4.098456123E0,4.713765612E0
4.524490417E-1,-2.216567480E0,-1.433196995E0,-4.024126902E0,4.812569204E0
4.624160417E-1,-1.749710287E0,-2.116257472E0,-3.902584339E0,4.771812685E0
4.723830417E-1,-2.251452553E0,-8.059650028E-1,2.755194567E0,3.648248249E0
4.823510417E-1,-4.675829785E-1,-9.157558322E-2,-1.139811780E0,1.235390960E0
4.923180417E-1,-5.404008400E-1,4.941645670E-1,-5.232199663E-1,8.999949002E-1
5.022850417E-1,2.847586714E-1,1.449117355E0,-5.549399418E0,5.742548433E0
5.122520417E-1,-1.882769819E-1,4.092786370E0,-8.663319495E0,9.583290310E0
5.222200417E-1,-8.942380786E-2,2.223002194E0,-6.544394377E0,6.912223459E0
5.321870417E-1,-7.383453159E-1,-1.058591762E0,-2.741048398E0,3.029705703E0
5.421540417E-1,-1.603969606E0,-1.579964155E0,-1.925516766E0,2.962536083E0
5.521210417E-1,-1.926156451E0,-1.731304714E0,-1.976520274E0,3.257932946E0
5.620890417E-1,-1.957836958E0,-1.419839323E0,-3.200906181E0,4.011841178E0
5.720560417E-1,-1.241315936E0,-1.494729000E0,-4.916803774E0,5.286779680E0
5.820230417E-1,-9.137546226E-2,-1.455377238E0,-5.940114461E0,6.116488550E0
5.919900417E-1,2.575463144E-1,-1.341512654E0,-6.822926495E0,6.958326829E0
6.019580417E-1,5.532211527E-1,-1.926091547E0,-7.731349334E0,7.986841980E0
6.119250417E-1,7.577998795E-1,-2.467531437E0,-8.623598190E0,9.001634173E0
6.218920417E-1,2.555130914E-1,-3.282726270E0,-9.179450297E0,9.752122152E0
6.318590417E-1,-3.633769709E-1,-4.538737721E0,-9.403614419E0,1.044797335E1
6.418270417E-1,-1.839937502E-1,-5.649316639E0,-9.639175934E0,1.117418207E1
6.517940417E-1,1.960197186E-1,-6.683801354E0,-1.018014278E1,1.217977551E1
6.617610417E-1,7.056946099E-1,-7.714473100E0,-1.107540062E1,1.351575373E1
6.717280417E-1,1.546492646E0,-9.152397569E0,-1.187871917E1,1.507521111E1
6.816960417E-1,2.172001464E0,-1.076691438E1,-1.236517243E1,1.653909081E1
6.916630417E-1,2.957004198E0,-1.196510944E1,-1.230357084E1,1.741509613E1
7.016300417E-1,3.972060955E0,-1.319838546E1,-1.152445742E1,1.796629527E1
7.115970417E-1,4.943446612E0,-1.437691516E1,-1.003307946E1,1.821526935E1
7.215650417E-1,5.616641228E0,-1.512079677E1,-8.278090310E0,1.813041458E1
7.315320417E-1,5.777587593E0,-1.582086168E1,-6.658808016E0,1.811131985E1
7.414990417E-1,5.726639634E0,-1.692812201E1,-5.774710178E0,1.878038854E1
7.514660417E-1,6.341025878E0,-1.820737819E1,-5.452361366E0,2.003610426E1
7.614340417E-1,5.950288616E0,-1.949353993E1,-3.935709693E0,2.075798267E1
7.714010417E-1,5.274943394E0,-1.981131622E1,-2.480105875E0,2.065100974E1
7.813680417E-1,5.153440007E0,-2.052484493E1,-1.306648923E0,2.120222947E1
7.913350417E-1,4.940038270E0,-2.079912378E1,-7.071593374E-2,2.137785136E1
8.013020417E-1,5.068280573E0,-2.074893596E1,1.041220708E0,2.138433894E1
8.112700417E-1,4.761013484E0,-2.083521747E1,2.034824615E0,2.146890886E1
8.212370417E-1,4.371536881E0,-2.098603354E1,3.277274326E0,2.168558197E1
8.312040417E-1,4.531332514E0,-2.078116347E1,4.313246573E0,2.170239216E1
8.411720417E-1,5.007356679E0,-2.049719929E1,4.909636257E0,2.166364069E1
8.511390417E-1,5.198404511E0,-2.033422570E1,5.400189584E0,2.167178331E1
8.611060417E-1,5.381827573E0,-2.020510748E1,5.788614857E0,2.169604799E1
8.710730417E-1,5.770735826E0,-2.005406688E1,6.027646694E0,2.172094646E1
8.810410417E-1,6.214986221E0,-2.037368037E1,6.361409272E0,2.223016944E1
8.910080417E-1,6.140358208E0,-2.054304614E1,7.196727297E0,2.261666703E1
9.009750417E-1,6.302464076E0,-2.070068707E1,7.864455936E0,2.302366535E1
9.109420417E-1,6.710711995E0,-2.103665405E1,7.614830114E0,2.335722815E1
9.209090417E-1,7.286056965E0,-2.117393498E1,7.322837706E0,2.355941639E1
9.308770417E-1,8.194044771E0,-2.122106120E1,7.295321878E0,2.388927645E1
9.408440417E-1,9.066237677E0,-2.110595525E1,7.265726781E0,2.409250503E1
9.508110417E-1,9.461647450E0,-2.093399800E1,7.357717516E0,2.412241803E1
9.607780417E-1,9.933734100E0,-2.087763318E1,7.772181026E0,2.439183138E1
9.707460417E-1,1.096595477E1,-2.056912940E1,8.066857306E0,2.466607863E1
9.807130417E-1,1.181181650E1,-1.963809830E1,8.370994381E0,2.439769376E1
9.906800417E-1,1.241513338E1,-1.857683802E1,8.592996787E0,2.393896492E1
1.000647042E0,1.312235762E1,-1.742919448E1,9.327463206E0,2.372708704E1
1.010615042E0,1.428851929E1,-1.607572660E1,1.041915123E1,2.389873390E1
1.020582042E0,1.527802956E1,-1.449846123E1,1.088293250E1,2.370784227E1
1.030549042E0,1.563671064E1,-1.344431584E1,1.068498788E1,2.322553151E1
